date,open,high,low,close,volume
2024-08-01,117.53,120.16,106.81,109.21,523462300
2024-08-02,103.76,108.72,101.37,107.27,482027500
2024-08-05,92.06,103.41,90.69,100.45,552842400
2024-08-06,103.84,107.71,100.55,104.25,409012100
2024-08-07,107.81,108.80,98.69,98.91,411440400
2024-08-08,102.00,105.50,97.52,104.97,391910000
2024-08-09,105.64,106.60,103.43,104.75,290844200
2024-08-12,106.32,111.07,106.26,109.02,325559900
2024-08-13,112.44,116.23,111.58,116.14,312646700
2024-08-14,118.53,118.60,114.07,118.08,339246400
2024-08-15,118.76,123.24,117.47,122.86,318086700
2024-08-16,121.94,125.00,121.18,124.58,302589900
2024-08-19,124.28,130.00,123.42,130.00,318333600
2024-08-20,128.40,129.88,125.89,127.25,300087400
2024-08-21,127.32,129.35,126.66,128.50,257883600
2024-08-22,130.02,130.75,123.10,123.74,376189100
2024-08-23,125.86,129.60,125.22,129.37,323230300
2024-08-26,129.57,131.26,124.37,126.46,331964700
2024-08-27,125.05,129.20,123.88,128.30,303134600
2024-08-28,128.12,128.33,122.64,125.61,448101100
2024-08-29,121.36,124.43,116.71,117.59,453023300
2024-08-30,119.53,121.75,117.22,119.37,333751600
2024-09-03,116.01,116.21,107.29,108.00,477155100
2024-09-04,105.41,113.27,104.12,106.21,372470300
2024-09-05,104.99,109.65,104.76,107.21,306850700
2024-09-06,108.04,108.15,100.95,102.83,413638100
2024-09-09,104.88,106.55,103.69,106.47,273912000
2024-09-10,107.81,109.40,104.95,108.10,268283700
2024-09-11,109.39,117.19,107.42,116.91,441422400
2024-09-12,116.84,120.79,115.38,119.14,366052700
2024-09-13,119.08,119.96,117.60,119.10,238358300
2024-09-16,116.79,118.18,114.36,116.78,248772300
2024-09-17,118.17,118.80,114.83,115.59,231925900
2024-09-18,115.89,117.70,113.22,113.37,310318900
2024-09-19,117.35,119.66,117.25,117.87,293506400
2024-09-20,117.06,118.62,115.39,116.00,382462400
2024-09-23,116.55,116.99,114.86,116.26,206228500
2024-09-24,116.52,121.80,115.38,120.87,354966800
2024-09-25,122.02,124.94,121.61,123.51,284692900
2024-09-26,126.80,127.67,121.80,124.04,302582900
2024-09-27,123.97,124.03,119.26,121.40,271009200
2024-09-30,118.31,121.50,118.15,121.44,226553700
2024-10-01,121.77,122.44,115.79,117.00,302094500
2024-10-02,116.44,119.38,115.14,118.85,221845900
2024-10-03,120.92,124.36,120.34,122.85,277118000
2024-10-04,124.94,125.04,121.83,124.92,243678100
2024-10-07,124.99,130.64,124.95,127.72,346250200
2024-10-08,130.26,133.48,129.42,132.89,285722500
2024-10-09,134.11,134.52,131.38,132.65,246191600
2024-10-10,131.91,135.00,131.00,134.81,242311300
2024-10-11,134.01,135.78,133.66,134.80,170209500
2024-10-14,136.47,139.60,136.30,138.07,232347700
2024-10-15,137.87,138.57,128.74,131.60,377831000
2024-10-16,133.98,136.62,131.58,135.72,264879700
2024-10-17,139.34,140.89,136.87,136.93,306435900
2024-10-18,138.67,138.90,137.28,138.00,176090200
2024-10-21,138.13,143.71,138.00,143.71,264554500
2024-10-22,142.91,144.42,141.78,143.59,226311600
2024-10-23,142.03,142.43,137.46,139.56,285930000
2024-10-24,140.82,141.35,138.46,140.41,172354900
2024-10-25,140.93,144.13,140.80,141.54,205122100
